,ID,Sales,Price
"123-1",5,1839,4.9199999999999999
"124-1",5,21829,3.0099999999999998
"125-1",5,10808,3.0099999999999998
"126-1",6,67470,1.3700000000000001
"127-1",6,12082,3.8900000000000001
"128-1",6,13049,1.72
"129-1",6,27914,1.6599999999999999
"130-1",6,54270,1.5
"131-1",6,20979,2.4900000000000002
"132-1",6,16278,1.8999999999999999
"133-1",6,20511,1.6299999999999999
"134-1",6,11554,4.25
"135-1",6,11967,1.6899999999999999
"136-1",6,8930,4
"137-1",6,24794,2.4300000000000002
"138-1",6,18127,2.0800000000000001
"139-1",6,1374,5.0999999999999996
"140-1",6,86839,1.4299999999999999
"141-1",6,10398,3.5499999999999998
"142-1",6,99780,1.6399999999999999
"143-1",6,8339,3.0299999999999998
"144-1",6,2682,2.6099999999999999
"145-1",6,10484,7.4400000000000004
"146-1",6,16615,3.1899999999999999
"147-1",6,2735,6.2199999999999998
"148-1",6,3460,4.9199999999999999
"149-1",6,3311,3.0099999999999998
"150-1",6,45209,3.0099999999999998
"151-1",7,10401,1.3700000000000001
"152-1",7,153,3.8900000000000001
"153-1",7,9837,1.72
"154-1",7,5477,1.6599999999999999
"155-1",7,44223,1.5
"156-1",7,3132,2.4900000000000002
"157-1",7,47586,1.8999999999999999
"158-1",7,7015,1.6299999999999999
"159-1",7,1052,4.25
"160-1",7,7968,1.6899999999999999
"161-1",7,43459,4
"162-1",7,1361,2.4300000000000002
"163-1",7,6964,2.0800000000000001
"164-1",7,5563,5.0999999999999996
"165-1",7,1741,1.4299999999999999
"166-1",7,664,3.5499999999999998
"167-1",7,8373,1.6399999999999999
"168-1",7,4051,3.0299999999999998
"169-1",7,30194,2.6099999999999999
"170-1",7,1963,7.4400000000000004
"171-1",7,6392,3.1899999999999999
"172-1",7,1077,6.2199999999999998
"173-1",7,576,4.9199999999999999
"174-1",7,16882,3.0099999999999998
"175-1",7,1301,3.0099999999999998
"176-1",8,7468,1.3700000000000001
"177-1",8,1459,3.8900000000000001
"178-1",8,2338,1.72
"179-1",8,21088,1.6599999999999999
"180-1",8,12814,1.5
"181-1",8,5080,2.4900000000000002
"182-1",8,18393,1.8999999999999999
"183-1",8,21794,1.6299999999999999
"184-1",8,12478,4.25
"185-1",8,26664,1.6899999999999999
"186-1",8,2024,4
"187-1",8,5404,2.4300000000000002
"188-1",8,4489,2.0800000000000001
"189-1",8,3607,5.0999999999999996
"190-1",8,5288,1.4299999999999999
"191-1",8,19711,3.5499999999999998
"192-1",8,16355,1.6399999999999999
"193-1",8,4866,3.0299999999999998
"194-1",8,3118,2.6099999999999999
"195-1",8,843,7.4400000000000004
"196-1",8,3376,3.1899999999999999
"197-1",8,1994,6.2199999999999998
"198-1",8,4618,4.9199999999999999
"199-1",8,9140,3.0099999999999998
"200-1",8,17544,3.0099999999999998
"201-1",9,47324,1.3700000000000001
"202-1",9,19947,3.8900000000000001
"203-1",9,15623,1.72
"204-1",9,11551,1.6599999999999999
"205-1",9,99569,1.5
"206-1",9,50669,2.4900000000000002
"207-1",9,78940,1.8999999999999999
"208-1",9,52664,1.6299999999999999
"209-1",9,25700,4.25
"210-1",9,13334,1.6899999999999999
"211-1",9,8786,4
"212-1",9,6934,2.4300000000000002
"213-1",9,34845,2.0800000000000001
"214-1",9,5200,5.0999999999999996
"215-1",9,12178,1.4299999999999999
"216-1",9,11940,3.5499999999999998
"217-1",9,7803,1.6399999999999999
"218-1",9,21867,3.0299999999999998
"219-1",9,58927,2.6099999999999999
"220-1",9,30925,7.4400000000000004
"221-1",9,5539,3.1899999999999999
"222-1",9,4835,6.2199999999999998
"223-1",9,34731,4.9199999999999999
"224-1",9,97153,3.0099999999999998
"225-1",9,23206,3.0099999999999998
"226-1",10,68207,1.3700000000000001
"227-1",10,1877,3.8900000000000001
"228-1",10,90681,1.72
"229-1",10,40042,1.6599999999999999
"230-1",10,265770,1.5
"231-1",10,105345,2.4900000000000002
"232-1",10,42357,1.8999999999999999
"233-1",10,17373,1.6299999999999999
"234-1",10,5301,4.25
"235-1",10,37703,1.6899999999999999
"236-1",10,5499,4
"237-1",10,3888,2.4300000000000002
"238-1",10,35394,2.0800000000000001
"239-1",10,7901,5.0999999999999996
"240-1",10,40582,1.4299999999999999
"241-1",10,23463,3.5499999999999998
"242-1",10,36490,1.6399999999999999
"243-1",10,30643,3.0299999999999998
"244-1",10,11016,2.6099999999999999
"245-1",10,1661,7.4400000000000004
"246-1",10,11023,3.1899999999999999
"247-1",10,3575,6.2199999999999998
"248-1",10,19978,4.9199999999999999
"249-1",10,21744,3.0099999999999998
"250-1",10,4887,3.0099999999999998
"251-1",11,211014,1.3700000000000001
"252-1",11,21396,3.8900000000000001
"253-1",11,21540,1.72
"254-1",11,9782,1.6599999999999999
"255-1",11,14847,1.5
"256-1",11,12347,2.4900000000000002
"257-1",11,12280,1.8999999999999999
"258-1",11,9265,1.6299999999999999
"259-1",11,3455,4.25
"260-1",11,6235,1.6899999999999999
"261-1",11,5292,4
"262-1",11,7020,2.4300000000000002
"263-1",11,22865,2.0800000000000001
"264-1",11,2445,5.0999999999999996
"265-1",11,372536,1.4299999999999999
"266-1",11,11897,3.5499999999999998
"267-1",11,32316,1.6399999999999999
"268-1",11,20783,3.0299999999999998
"269-1",11,12540,2.6099999999999999
"270-1",11,8483,7.4400000000000004
"271-1",11,12885,3.1899999999999999
"272-1",11,6147,6.2199999999999998
"273-1",11,2840,4.9199999999999999
"274-1",11,40399,3.0099999999999998
"275-1",11,14422,3.0099999999999998
"276-1",12,10255,1.3700000000000001
"277-1",12,19844,3.8900000000000001
"278-1",12,69273,1.72
"279-1",12,79650,1.6599999999999999
"280-1",12,54274,1.5
"281-1",12,6159,2.4900000000000002
"282-1",12,13562,1.8999999999999999
"283-1",12,93158,1.6299999999999999
"284-1",12,11987,4.25
"285-1",12,64752,1.6899999999999999
"286-1",12,4497,4
"287-1",12,7788,2.4300000000000002
"288-1",12,8980,2.0800000000000001
"289-1",12,29807,5.0999999999999996
"290-1",12,153199,1.4299999999999999
"291-1",12,5994,3.5499999999999998
"292-1",12,144003,1.6399999999999999
"293-1",12,87038,3.0299999999999998
"294-1",12,103964,2.6099999999999999
"295-1",12,424,7.4400000000000004
"296-1",12,37809,3.1899999999999999
"297-1",12,7121,6.2199999999999998
"298-1",12,4250,4.9199999999999999
"299-1",12,19876,3.0099999999999998
"300-1",12,2668,3.0099999999999998
"301-1",13,58345,1.3700000000000001
"302-1",13,12397,3.8900000000000001
"303-1",13,38861,1.72
"304-1",13,76655,1.6599999999999999
"305-1",13,25447,1.5
"306-1",13,71448,2.4900000000000002
"307-1",13,89694,1.8999999999999999
"308-1",13,34124,1.6299999999999999
"309-1",13,4284,4.25
"310-1",13,9956,1.6899999999999999
"311-1",13,4253,4
"312-1",13,40987,2.4300000000000002
"313-1",13,52014,2.0800000000000001
"314-1",13,5593,5.0999999999999996
"315-1",13,172978,1.4299999999999999
"316-1",13,47565,3.5499999999999998
"317-1",13,29239,1.6399999999999999
"318-1",13,5807,3.0299999999999998
"319-1",13,4477,2.6099999999999999
"320-1",13,2685,7.4400000000000004
"321-1",13,30054,3.1899999999999999
"322-1",13,6023,6.2199999999999998
"323-1",13,4007,4.9199999999999999
"324-1",13,24677,3.0099999999999998
"325-1",13,35705,3.0099999999999998
"326-1",14,41057,1.3700000000000001
"327-1",14,23847,3.8900000000000001
"328-1",14,23910,1.72
"329-1",14,192964,1.6599999999999999
"330-1",14,64576,1.5
"331-1",14,17593,2.4900000000000002
"332-1",14,5898,1.8999999999999999
"333-1",14,24692,1.6299999999999999
"334-1",14,42898,4.25
"335-1",14,18997,1.6899999999999999
"336-1",14,19321,4
"337-1",14,13322,2.4300000000000002
"338-1",14,72845,2.0800000000000001
"339-1",14,40023,5.0999999999999996
"340-1",14,35148,1.4299999999999999
"341-1",14,1729,3.5499999999999998
"342-1",14,64174,1.6399999999999999
"343-1",14,25832,3.0299999999999998
"344-1",14,15361,2.6099999999999999
"345-1",14,5103,7.4400000000000004
"346-1",14,2308,3.1899999999999999
"347-1",14,18238,6.2199999999999998
"348-1",14,3523,4.9199999999999999
"349-1",14,13120,3.0099999999999998
"350-1",14,15657,3.0099999999999998
"351-1",15,43991,1.3700000000000001
"352-1",15,10719,3.8900000000000001
"353-1",15,66971,1.72
"354-1",15,144400,1.6599999999999999
"355-1",15,90726,1.5
"356-1",15,33827,2.4900000000000002
"357-1",15,21826,1.8999999999999999
"358-1",15,792938,1.6299999999999999
"359-1",15,8802,4.25
"360-1",15,28880,1.6899999999999999
"361-1",15,12150,4
"362-1",15,4688,2.4300000000000002
"363-1",15,72899,2.0800000000000001
"364-1",15,3092,5.0999999999999996
"365-1",15,30635,1.4299999999999999
"366-1",15,21813,3.5499999999999998
"367-1",15,48388,1.6399999999999999
"368-1",15,5479,3.0299999999999998
"369-1",15,13270,2.6099999999999999
"370-1",15,15174,7.4400000000000004
"371-1",15,2984,3.1899999999999999
"372-1",15,33546,6.2199999999999998
"373-1",15,2698,4.9199999999999999
"374-1",15,36937,3.0099999999999998
"375-1",15,26283,3.0099999999999998
"376-1",16,26584,1.3700000000000001
"377-1",16,10863,3.8900000000000001
"378-1",16,26543,1.72
"379-1",16,18532,1.6599999999999999
"380-1",16,10515,1.5
"381-1",16,14350,2.4900000000000002
"382-1",16,19328,1.8999999999999999
"383-1",16,85186,1.6299999999999999
"384-1",16,366,4.25
"385-1",16,2173,1.6899999999999999
"386-1",16,10826,4
"387-1",16,23077,2.4300000000000002
"388-1",16,1636,2.0800000000000001
"389-1",16,9734,5.0999999999999996
"390-1",16,22005,1.4299999999999999
"391-1",16,1196,3.5499999999999998
"392-1",16,75909,1.6399999999999999
"393-1",16,1382,3.0299999999999998
"394-1",16,10831,2.6099999999999999
"395-1",16,2874,7.4400000000000004
"396-1",16,3487,3.1899999999999999
"397-1",16,478,6.2199999999999998
"398-1",16,1743,4.9199999999999999
"399-1",16,16837,3.0099999999999998
"400-1",16,6254,3.0099999999999998
"401-1",17,13895,1.3700000000000001
"402-1",17,23959,3.8900000000000001
"403-1",17,3572,1.72
"404-1",17,7026,1.6599999999999999
"405-1",17,155498,1.5
"406-1",17,6072,2.4900000000000002
"407-1",17,25309,1.8999999999999999
"408-1",17,14832,1.6299999999999999
"409-1",17,4945,4.25
"410-1",17,227668,1.6899999999999999
"411-1",17,3651,4
"412-1",17,2529,2.4300000000000002
"413-1",17,6069,2.0800000000000001
"414-1",17,497,5.0999999999999996
"415-1",17,6474,1.4299999999999999
"416-1",17,1097,3.5499999999999998
"417-1",17,35844,1.6399999999999999
"418-1",17,12574,3.0299999999999998
"419-1",17,2659,2.6099999999999999
"420-1",17,3490,7.4400000000000004
"421-1",17,6744,3.1899999999999999
"422-1",17,6597,6.2199999999999998
"423-1",17,749,4.9199999999999999
"424-1",17,2156,3.0099999999999998
"425-1",17,3857,3.0099999999999998
"426-1",18,15808,1.3700000000000001
"427-1",18,11384,3.8900000000000001
"428-1",18,15060,1.72
"429-1",18,2513,1.6599999999999999
"430-1",18,63038,1.5
"431-1",18,9555,2.4900000000000002
"432-1",18,18146,1.8999999999999999
"433-1",18,19157,1.6299999999999999
"434-1",18,4343,4.25
"435-1",18,5167,1.6899999999999999
"436-1",18,538,4
"437-1",18,6172,2.4300000000000002
"438-1",18,48503,2.0800000000000001
"439-1",18,1349,5.0999999999999996
"440-1",18,2658,1.4299999999999999
"441-1",18,18052,3.5499999999999998
"442-1",18,27153,1.6399999999999999
"443-1",18,1252,3.0299999999999998
"444-1",18,6668,2.6099999999999999
"445-1",18,733,7.4400000000000004
"446-1",18,3797,3.1899999999999999
"447-1",18,1854,6.2199999999999998
"448-1",18,3407,4.9199999999999999
"449-1",18,942,3.0099999999999998
"450-1",18,1066,3.0099999999999998
"451-1",19,5578,1.3700000000000001
"452-1",19,7003,3.8900000000000001
"453-1",19,8218,1.72
"454-1",19,4003,1.6599999999999999
"455-1",19,86980,1.5
"456-1",19,5792,2.4900000000000002
"457-1",19,18645,1.8999999999999999
"458-1",19,826,1.6299999999999999
"459-1",19,8232,4.25
"460-1",19,12094,1.6899999999999999
"461-1",19,919,4
"462-1",19,28528,2.4300000000000002
"463-1",19,9234,2.0800000000000001
"464-1",19,1454,5.0999999999999996
"465-1",19,16830,1.4299999999999999
"466-1",19,1199,3.5499999999999998
"467-1",19,5183,1.6399999999999999
"468-1",19,4929,3.0299999999999998
"469-1",19,9293,2.6099999999999999
"470-1",19,816,7.4400000000000004
"471-1",19,5994,3.1899999999999999
"472-1",19,274,6.2199999999999998
"473-1",19,820,4.9199999999999999
"474-1",19,5654,3.0099999999999998
"475-1",19,2464,3.0099999999999998
"476-1",20,14519,1.3700000000000001
"477-1",20,5813,3.8900000000000001
"478-1",20,10533,1.72
"479-1",20,5073,1.6599999999999999
"480-1",20,7682,1.5
"481-1",20,5396,2.4900000000000002
"482-1",20,16767,1.8999999999999999
"483-1",20,18159,1.6299999999999999
"484-1",20,4625,4.25
"485-1",20,17833,1.6899999999999999
"486-1",20,1237,4
"487-1",20,5166,2.4300000000000002
"488-1",20,17216,2.0800000000000001
"489-1",20,494,5.0999999999999996
"490-1",20,4319,1.4299999999999999
"491-1",20,28550,3.5499999999999998
"492-1",20,3862,1.6399999999999999
"493-1",20,3188,3.0299999999999998
"494-1",20,4605,2.6099999999999999
"495-1",20,1768,7.4400000000000004
"496-1",20,3937,3.1899999999999999
"497-1",20,6499,6.2199999999999998
"498-1",20,893,4.9199999999999999
"499-1",20,813,3.0099999999999998
"500-1",20,20967,3.0099999999999998
"501-1",21,35426,1.3700000000000001
"502-1",21,14740,3.8900000000000001
"503-1",21,45690,1.72
"504-1",21,66734,1.6599999999999999
"505-1",21,107618,1.5
"506-1",21,29889,2.4900000000000002
"507-1",21,32266,1.8999999999999999
"508-1",21,32087,1.6299999999999999
"509-1",21,14320,4.25
"510-1",21,58715,1.6899999999999999
"511-1",21,16381,4
"512-1",21,50599,2.4300000000000002
"513-1",21,19910,2.0800000000000001
"514-1",21,16255,5.0999999999999996
"515-1",21,126904,1.4299999999999999
"516-1",21,81223,3.5499999999999998
"517-1",21,38487,1.6399999999999999
"518-1",21,11551,3.0299999999999998
"519-1",21,11967,2.6099999999999999
"520-1",21,899,7.4400000000000004
"521-1",21,12202,3.1899999999999999
"522-1",21,1004,6.2199999999999998
"523-1",21,18467,4.9199999999999999
"524-1",21,5529,3.0099999999999998
"525-1",21,30696,3.0099999999999998
"526-1",22,24049,1.3700000000000001
"527-1",22,1064,3.8900000000000001
"528-1",22,4323,1.72
"529-1",22,13042,1.6599999999999999
"530-1",22,21332,1.5
"531-1",22,3267,2.4900000000000002
"532-1",22,10335,1.8999999999999999
"533-1",22,16336,1.6299999999999999
"534-1",22,2467,4.25
"535-1",22,9984,1.6899999999999999
"536-1",22,8865,4
"537-1",22,8086,2.4300000000000002
"538-1",22,6811,2.0800000000000001
"539-1",22,1064,5.0999999999999996
"540-1",22,6998,1.4299999999999999
"541-1",22,2987,3.5499999999999998
"542-1",22,3310,1.6399999999999999
"543-1",22,11108,3.0299999999999998
"544-1",22,3965,2.6099999999999999
"545-1",22,2553,7.4400000000000004
"546-1",22,2918,3.1899999999999999
"547-1",22,320,6.2199999999999998
"548-1",22,962,4.9199999999999999
"549-1",22,6798,3.0099999999999998
"550-1",22,1868,3.0099999999999998
"551-1",23,3446,1.3700000000000001
"552-1",23,1642,3.8900000000000001
"553-1",23,3657,1.72
"554-1",23,2787,1.6599999999999999
"555-1",23,34270,1.5
"556-1",23,2169,2.4900000000000002
"557-1",23,2514,1.8999999999999999
"558-1",23,7599,1.6299999999999999
"559-1",23,4987,4.25
"560-1",23,5487,1.6899999999999999
"561-1",23,3416,4
"562-1",23,4245,2.4300000000000002
"563-1",23,19753,2.0800000000000001
"564-1",23,1851,5.0999999999999996
"565-1",23,8734,1.4299999999999999
"566-1",23,889,3.5499999999999998
"567-1",23,24809,1.6399999999999999
"568-1",23,864,3.0299999999999998
"569-1",23,9296,2.6099999999999999
"570-1",23,38622,7.4400000000000004
"571-1",23,25467,3.1899999999999999
"572-1",23,7560,6.2199999999999998
"573-1",23,900,4.9199999999999999
"574-1",23,1099,3.0099999999999998
"575-1",23,4543,3.0099999999999998
"576-1",24,36107,1.3700000000000001
"577-1",24,3888,3.8900000000000001
"578-1",24,20194,1.72
"579-1",24,48412,1.6599999999999999
"580-1",24,17361,1.5
"581-1",24,125629,2.4900000000000002
"582-1",24,21659,1.8999999999999999
"583-1",24,53393,1.6299999999999999
"584-1",24,4807,4.25
"585-1",24,7797,1.6899999999999999
"586-1",24,31276,4
"587-1",24,10734,2.4300000000000002
"588-1",24,66986,2.0800000000000001
"589-1",24,5410,5.0999999999999996
"590-1",24,22104,1.4299999999999999
"591-1",24,4914,3.5499999999999998
"592-1",24,24501,1.6399999999999999
"593-1",24,3307,3.0299999999999998
"594-1",24,7655,2.6099999999999999
"595-1",24,1045,7.4400000000000004
"596-1",24,4369,3.1899999999999999
"597-1",24,977,6.2199999999999998
"598-1",24,17702,4.9199999999999999
"599-1",24,2467,3.0099999999999998
"600-1",24,6340,3.0099999999999998
"601-1",25,7681,1.3700000000000001
"602-1",25,1786,3.8900000000000001
"603-1",25,37845,1.72
"604-1",25,103128,1.6599999999999999
"605-1",25,54527,1.5
"606-1",25,25056,2.4900000000000002
"607-1",25,12180,1.8999999999999999
"608-1",25,15206,1.6299999999999999
"609-1",25,14925,4.25
"610-1",25,20364,1.6899999999999999
"611-1",25,14749,4
"612-1",25,45041,2.4300000000000002
"613-1",25,185610,2.0800000000000001
"614-1",25,8273,5.0999999999999996
"615-1",25,18334,1.4299999999999999
"616-1",25,5341,3.5499999999999998
"617-1",25,51264,1.6399999999999999
"618-1",25,62407,3.0299999999999998
"619-1",25,26870,2.6099999999999999
"620-1",25,1787,7.4400000000000004
"621-1",25,5544,3.1899999999999999
"622-1",25,4620,6.2199999999999998
"623-1",25,6917,4.9199999999999999
"624-1",25,9338,3.0099999999999998
"625-1",25,15169,3.0099999999999998
"626-1",26,88984,1.3700000000000001
"627-1",26,4056,3.8900000000000001
"628-1",26,17563,1.72
"629-1",26,12713,1.6599999999999999
"630-1",26,82913,1.5
"631-1",26,32123,2.4900000000000002
"632-1",26,41515,1.8999999999999999
"633-1",26,102254,1.6299999999999999
"634-1",26,18468,4.25
"635-1",26,195872,1.6899999999999999
"636-1",26,7341,4
"637-1",26,10207,2.4300000000000002
"638-1",26,23430,2.0800000000000001
"639-1",26,2517,5.0999999999999996
"640-1",26,125347,1.4299999999999999
"641-1",26,21683,3.5499999999999998
"642-1",26,22927,1.6399999999999999
"643-1",26,29885,3.0299999999999998
"644-1",26,25653,2.6099999999999999
"645-1",26,2147,7.4400000000000004
"646-1",26,33562,3.1899999999999999
"647-1",26,2109,6.2199999999999998
"648-1",26,6521,4.9199999999999999
"649-1",26,6464,3.0099999999999998
"650-1",26,34808,3.0099999999999998
"651-1",27,75534,1.3700000000000001
"652-1",27,3146,3.8900000000000001
"653-1",27,22862,1.72
"654-1",27,21510,1.6599999999999999
"655-1",27,56763,1.5
"656-1",27,28618,2.4900000000000002
"657-1",27,19522,1.8999999999999999
"658-1",27,11129,1.6299999999999999
"659-1",27,3143,4.25
"660-1",27,134912,1.6899999999999999
"661-1",27,1177,4
"662-1",27,4980,2.4300000000000002
"663-1",27,16536,2.0800000000000001
"664-1",27,9192,5.0999999999999996
"665-1",27,377281,1.4299999999999999
"666-1",27,6568,3.5499999999999998
"667-1",27,29045,1.6399999999999999
"668-1",27,10737,3.0299999999999998
"669-1",27,1086,2.6099999999999999
"670-1",27,7873,7.4400000000000004
"671-1",27,24122,3.1899999999999999
"672-1",27,5285,6.2199999999999998
"673-1",27,3896,4.9199999999999999
"674-1",27,13848,3.0099999999999998
"675-1",27,27838,3.0099999999999998
"676-1",28,43083,1.3700000000000001
"677-1",28,2287,3.8900000000000001
"678-1",28,26967,1.72
"679-1",28,18808,1.6599999999999999
"680-1",28,9919,1.5
"681-1",28,22487,2.4900000000000002
"682-1",28,53148,1.8999999999999999
"683-1",28,3098,1.6299999999999999
"684-1",28,1948,4.25
"685-1",28,5789,1.6899999999999999
"686-1",28,418,4
"687-1",28,787,2.4300000000000002
"688-1",28,12143,2.0800000000000001
"689-1",28,10005,5.0999999999999996
"690-1",28,4884,1.4299999999999999
"691-1",28,10907,3.5499999999999998
"692-1",28,39369,1.6399999999999999
"693-1",28,3144,3.0299999999999998
"694-1",28,2485,2.6099999999999999
"695-1",28,2046,7.4400000000000004
"696-1",28,2414,3.1899999999999999
"697-1",28,1134,6.2199999999999998
"698-1",28,2265,4.9199999999999999
"699-1",28,5391,3.0099999999999998
"700-1",28,3738,3.0099999999999998
"701-1",29,57464,1.3700000000000001
"702-1",29,2956,3.8900000000000001
"703-1",29,58715,1.72
"704-1",29,60056,1.6599999999999999
"705-1",29,144002,1.5
"706-1",29,5763,2.4900000000000002
"707-1",29,65951,1.8999999999999999
"708-1",29,19472,1.6299999999999999
"709-1",29,7427,4.25
"710-1",29,33651,1.6899999999999999
"711-1",29,41469,4
"712-1",29,26599,2.4300000000000002
"713-1",29,148848,2.0800000000000001
"714-1",29,11792,5.0999999999999996
"715-1",29,85013,1.4299999999999999
"716-1",29,5636,3.5499999999999998
"717-1",29,32227,1.6399999999999999
"718-1",29,34323,3.0299999999999998
"719-1",29,25812,2.6099999999999999
"720-1",29,592,7.4400000000000004
"721-1",29,87080,3.1899999999999999
"722-1",29,10795,6.2199999999999998
"723-1",29,25382,4.9199999999999999
"724-1",29,14385,3.0099999999999998
"725-1",29,4023,3.0099999999999998
"726-1",30,2129,1.3700000000000001
"727-1",30,8073,3.8900000000000001
"728-1",30,2863,1.72
"729-1",30,35431,1.6599999999999999
"730-1",30,45911,1.5
"731-1",30,2167,2.4900000000000002
"732-1",30,7500,1.8999999999999999
"733-1",30,1795,1.6299999999999999
"734-1",30,1813,4.25
"735-1",30,4670,1.6899999999999999
"736-1",30,3910,4
"737-1",30,3762,2.4300000000000002
"738-1",30,8025,2.0800000000000001
"739-1",30,2376,5.0999999999999996
"740-1",30,145897,1.4299999999999999
"741-1",30,9763,3.5499999999999998
"742-1",30,5561,1.6399999999999999
"743-1",30,5134,3.0299999999999998
"744-1",30,8510,2.6099999999999999
"745-1",30,3555,7.4400000000000004
"746-1",30,8356,3.1899999999999999
"747-1",30,964,6.2199999999999998
"748-1",30,1885,4.9199999999999999
"749-1",30,22646,3.0099999999999998
"750-1",30,7096,3.0099999999999998
"751-1",31,101840,1.3700000000000001
"752-1",31,19538,3.8900000000000001
"753-1",31,27332,1.72
"754-1",31,38247,1.6599999999999999
"755-1",31,44137,1.5
"756-1",31,113438,2.4900000000000002
"757-1",31,52400,1.8999999999999999
"758-1",31,45346,1.6299999999999999
"759-1",31,2475,4.25
"760-1",31,24813,1.6899999999999999
"761-1",31,2636,4
"762-1",31,16248,2.4300000000000002
"763-1",31,17561,2.0800000000000001
"764-1",31,33676,5.0999999999999996
"765-1",31,11595,1.4299999999999999
"766-1",31,19164,3.5499999999999998
"767-1",31,8384,1.6399999999999999
"768-1",31,20031,3.0299999999999998
"769-1",31,13334,2.6099999999999999
"770-1",31,15334,7.4400000000000004
"771-1",31,29879,3.1899999999999999
"772-1",31,4087,6.2199999999999998
"773-1",31,8821,4.9199999999999999
